node_id,accuracy
8001,0.7012195121951219
8002,0.4634146341463415
8003,0.3151515151515151
8004,0.9786585365853658
8005,0.6585365853658537
8007,0.9908536585365854
8008,1.0
8009,0.9664634146341463
8010,1.0
8011,1.0
8012,1.0
8013,0.4212121212121212
8014,0.5853658536585366
8015,0.850609756097561
8016,0.8693009118541033
8017,0.8814589665653495
8018,0.6798780487804879
8019,0.9909638554216867
8020,0.5670731707317073
8021,0.9939759036144579
8022,1.0
8023,0.9420731707317073
8024,0.9420731707317073
8026,1.0
8027,0.8902439024390244
8028,0.5762195121951219
8030,0.676829268292683
8031,0.9939024390243902
8032,0.9969512195121951
8033,1.0
8034,0.5884146341463414
8035,0.6097560975609756
8037,0.9939024390243902
8038,0.7408536585365854
8039,0.42378048780487804
8040,0.8170731707317073
8041,1.0
8042,1.0
