node_id,orig_smape,sec_smape,best_smape,best_model
8001,73.22204617266911,70.61092827934347,70.61092827934347,secondary
8002,60.59349344671544,61.28633186074174,60.59349344671544,original
8003,70.33804218711353,68.25070715423067,68.25070715423067,secondary
8004,26.898942052067262,,26.898942052067262,original
8005,61.72582628912646,62.14565749470488,61.72582628912646,original
8006,92.52383137374277,93.69342877081188,92.52383137374277,original
8007,89.12911538038925,90.38750678754586,89.12911538038925,original
8008,85.24904955208794,89.10532582057303,85.24904955208794,original
8009,74.90670740347902,73.09317675566592,73.09317675566592,secondary
8010,67.04067568149263,64.22588288710173,64.22588288710173,secondary
8011,82.71400372763098,83.74570116065114,82.71400372763098,original
8012,60.21270297513055,60.136396001894674,60.136396001894674,secondary
8013,69.46241838310576,66.12669882205714,66.12669882205714,secondary
8014,68.61510927515285,64.69469419332913,64.69469419332913,secondary
8015,69.65630151451391,68.42008288682031,68.42008288682031,secondary
8016,78.60833154665903,75.07322030010192,75.07322030010192,secondary
8017,71.76800674450561,72.24685699540676,71.76800674450561,original
8018,59.56487604850482,60.87621620732154,59.56487604850482,original
8019,68.03878209327554,67.01063329718055,67.01063329718055,secondary
8020,52.95124558378823,52.29077219574007,52.29077219574007,secondary
8021,82.54949922670627,83.45267804888634,82.54949922670627,original
8022,70.68509416433014,64.37818203701605,64.37818203701605,secondary
8023,80.55021581943805,80.1864318098513,80.1864318098513,secondary
8024,75.93492268807603,75.9249009287824,75.9249009287824,secondary
8026,79.99974150855179,78.64904397623796,78.64904397623796,secondary
8027,77.79399650680158,76.88931458414532,76.88931458414532,secondary
8028,72.09131780077385,70.6646153334288,70.6646153334288,secondary
8029,88.25094140315227,90.36345720205809,88.25094140315227,original
8030,23.50854616556069,,23.50854616556069,original
8031,87.08582611942539,87.02814779812448,87.02814779812448,secondary
8032,90.3892963754434,90.11715448318031,90.11715448318031,secondary
8033,81.23747212663564,81.49949393396516,81.23747212663564,original
8034,78.40157617904244,75.50196810837564,75.50196810837564,secondary
8035,79.32672097904288,78.57191862696669,78.57191862696669,secondary
8036,84.63017623947073,83.69941525870487,83.69941525870487,secondary
8037,73.6983581652543,73.26523924104843,73.26523924104843,secondary
8038,30.33674430058578,,30.33674430058578,original
8039,84.58157147357205,84.87229792472564,84.58157147357205,original
8040,56.29408031630746,53.38112988908957,53.38112988908957,secondary
8041,82.76902844166133,82.08770288567652,82.08770288567652,secondary
8042,90.67673344712608,90.85606206317,90.67673344712608,original
